road_name,road_type,local_authority_id
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A321,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A3095,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
A329,Major,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
B383,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
U,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
B3408,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
C,Minor,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
A322,Major,180
